"_tid_","T1","T2","T3","T4","T5","T6","T7","T8","T9"
"31","21.53333333","18.89","22.1","19.6","19.03333333","5.656666667","17.79","19.35666667","16.82333333"
"32","21.6","17.5","22.1","19.69666667","19.1","5.833333333","17.79","19.39","18.89"
"33","21.6","20.96333333","22.1","20.09666667","19.15833333","5.9","17.79","19.39","16.89"
"34","21.6","21","20.5","20.59666667","19.2","6","17.79","19.34","16.82333333"
"35","21.6","21","20.5","20.99666667","19.2225","_nan_","17.7","_nan_","16.89"
"36","21.6","21","20.4175","21.16666667","19.29","_nan_","17.7","_nan_","16.89"
"37","21.6","21","20.39","21.03333333","19.29","_nan_","17.7","_nan_","16.89"
"38","21.6","21","20.29","20.96333333","19.29","_nan_","17.7","19.39","16.89"
"39","21.5","20.92666667","20.29","20.865","19.29","_nan_","17.7","19.39","16.89"
"40","21.5","20.89","20.29","20.73","19.29","5.59","17.7","19.39","16.89"
"41","21.39","20.79","20.23","20.7","19.2","5.59","17.7","19.39","19.39"
"42","21.39","20.79","20.2","20.63333333","19.2","5.59","17.7","19.39","19.39"
"43","21.29","20.7","20.2","20.56666667","19.2","5.53","17.7","19.46333333","16.89"
"44","21.29","20.63333333","20.16666667","20.5","19.2","5.53","17.76","19.39","16.89"
"45","21.26","20.6","20.1","20.5","19.16666667","5.53","17.79","19.39","16.89"
"46","21.2","20.6","20.1","20.42666667","19.1","5.4","17.79","19.39","16.89"
"47","21.16666667","20.5","20.1","20.46","19.06666667","5.2","17.79","19.35666667","16.89"
"48","21.075","18.6","20.1","20.79333333","19","4.866666667","17.79","19.29","16.89"
"49","21","20.2","20.1","21.26333333","19","4.933333333","18.2","19.29","16.89"
"50","21","20.39","20.1","21.59666667","19","5","18.39","19.23","16.89"
"51","20.92666667","20.29","20.16666667","21.89","19","4.866666667","19.29","19.29","16.89"
"52","20.89","20.23","20.13333333","21.82333333","18.92666667","4.726666667","19.5","19.29","16.89"
"53","20.89","20.2","20.2","21.66666667","18.89","4.466666667","17.79","19.29","16.89"
"54","20.79","20.2","20.16666667","21.53333333","18.89","4.333333333","17.79","19.2225","16.89"
"55","20.79","20.1","20.125","21.35666667","18.89","4.156666667","17.79","19.2","16.96333333"
"56","20.7","20.1","20.13333333","21.23","18.79","4.156666667","17.89","19.2","17"
"57","20.7","20","20.2","21.06666667","18.79","_nan_","17.89","19.2","17"
"58","20.6","20","20.2","20.92666667","18.79","_nan_","17.89","19.2","17"
"59","20.6","20","20.2","20.745","18.73","_nan_","17.82333333","19.13333333","17"
"60","20.56666667","19.89","20.2","20.66666667","18.7","4.063333333","17.85666667","19.2","17"
"61","20.5","19.82333333","20.29","20.53333333","18.7","3.863333333","17.85666667","20.2","17"
"62","20.5","19.79","20.29","20.39","18.7","3.79","17.89","18.7","17"
"63","20.42666667","19.79","20.2","20.39","18.63333333","3.895","17.89","22.5","17"
"64","20.39","19.76","20.2","20.29","18.6","4.19","17.89","19.2","17.06666667"
"65","20.39","19.7","20.2","19.29","18.6","4.263333333","17.89","19.2","17.06666667"
"66","20.29","19.7","20.26","19.1","18.6","4.463333333","17.89","19.1","17.03333333"
"67","20.29","19.63333333","20.6","21.89","18.53333333","4.59","17.89","19.1","18.2"
"68","20.23","19.6","20.29","20.29","18.5","4.726666667","17.89","19.1","19.6"
"69","20.2","19.6","20.29","20.29","18.5","4.8","17.89","19.1","18.2"
"70","20.2","19.56666667","20.29","19.85666667","18.5","4.8","17.89","19.1","18.2"
"71","20.16666667","19.5","20.29","19.79","18.5","4.8","17.89","19.1","18.2"
"72","20.1","19.5","20.29","19.76","18.5","4.8","17.89","19.1","18.39"
"73","20.1","19.42666667","20.29","19.7","18.4725","4.8","17.89","19.1","18.39"
"74","20.03333333","19.39","20.29","19.66666667","18.39","4.763333333","17.89","19.05","18"
"75","20","19.39","20.35666667","19.6","18.39","4.763333333","17.89","19","17.1"
"76","20","19.39","20.39","19.6","18.39","4.833333333","17.89","19.06666667","17.1"
"77","20","19.39","20.32333333","19.6","18.39","4.833333333","17.89","19.1","17.1"
"78","19.92666667","19.29","22.2","19.5","18.39","4.9","17.89","19.03333333","17.1"
"79","19.89","19.29","_nan_","19.5","18.35666667","4.9975","17.89","19","17.1"
"80","19.89","19.29","20.1","19.2","18.29","5.09","17.89","19","17.1"
"81","19.89","19.29","20.2","19.29","18.29","5","17.89","19","17.13333333"
"82","19.89","19.218","20.2","19.39","18.29","5","17.89","19","17.2"
"83","19.89","19.2","20.29","19.29","18.29","4.966666667","17.89","19","17.2"
"84","19.82333333","19.2","20.2","19.29","18.29","_nan_","17.89","19","17.2"
"85","19.85666667","19.2","20.2","19.29","18.29","_nan_","17.89","19","17.2"
"86","19.79","19.2","20.16666667","19.29","18.23","_nan_","17.89","18.92666667","17.2"
"87","19.79","19.175","20.1","19.26","18.2","5","17.89","18.9725","17.2"
"88","19.79","19.1","20.1","19.2","18.2","5","17.85666667","18.89","17.2"
"89","19.79","19.1","20.1","19.16666667","18.1","5","17.79","18.85666667","17.15"
"90","19.79","19.1","20.2","19.16666667","18.1","5.06","17.79","18.79","17.1"
"91","19.79","19.06666667","20.13333333","19.2","18.1","5.09","17.85666667","18.79","17.1"
"92","19.89","19.02222222","20.15","19.2","18.03333333","5.09","18","18.79","17.1"
"93","19.89","19.1","20.1","19.1","18.05","5","18","18.7","17.2"
"94","19.89","19.6","20.1","19.1","18","4.793333333","17.89","18.7","18.89"
"95","19.89","19.2","20.1","19.1","18","4.466666667","17.89","18.7","18.1"
"96","19.85666667","21.7","20.1","19.1","18","4.2975","17.85666667","18.7","16.89"
"97","19.79","19","20.1","19.1","17.92666667","4.063333333","17.79","18.63333333","17.29"
"98","19.79","19","20.1","19.1","17.89","4.03","17.79","18.66666667","17.6"
"99","19.79","19","20.1","19.03333333","17.89","4.09","17.79","18.6","17.6"
"100","19.76","18.96333333","20.03333333","19","18","4.123333333","17.7","18.6","17"
"101","19.7","18.96333333","20","19.06666667","18","4.263333333","17.7","21.7","17"
"102","19.7","18.89","20","19.1","18","4.463333333","17.7","20.29","17"
"103","19.7","18.89","19.89","19.16666667","18","4.73","17.7","20","17"
"104","19.73","18.92666667","19.89","19.36","18","5.03","17.7","18.39","17"
"105","19.79","19","19.89","19.69333333","18","5.156666667","17.7","22","17"
"106","19.89","19.03333333","19.96333333","20","18.03333333","5.333333333","17.7","21.89","17.03333333"
"107","19.89","19.03333333","19.92666667","20.06666667","18.1","_nan_","17.7","18.5","17.03333333"
"108","19.89","19.03333333","20","_nan_","18.03333333","_nan_","17.7","18.5","17.05"
"109","20","19.1","20","_nan_","18.1","_nan_","17.73","18.5","17.1"
"110","20","19.1","19.92666667","_nan_","18.1","_nan_","17.79","18.42666667","17.1"
"111","20","19.1","19.945","20.13333333","18.1","_nan_","17.79","18.5","17.1"
"112","20","19.1","19.89","20.1","18.1","_nan_","17.85666667","18.5","17.1"
"113","20","19.15","19.89","20.1","18.1","_nan_","17.82333333","18.5","17.1"
"114","20","19.2","19.96333333","20.03333333","18.1","6.5","17.89","22.1","17.1"
"115","20.03333333","19.2","19.96333333","20.03333333","18.06666667","6.59","17.9175","19.39","17.1"
"116","20.1","19.2","20","20","18","6.656666667","17.92666667","22.1","17.1"
"117","20.1","19.2","20","20","17.96333333","6.933333333","17.9725","18.6","17.1"
"118","20.1","19.2","19.96333333","20","17.89","7.126666667","18","18.6","17.1"
"119","20.1","19.2","19.89","19.89","17.89","7.433333333","18","18.5","17.1"
"120","20.16666667","19.2","19.89","19.89","17.89","7.5","18","18.5","17.16666667"
"121","20.1","19.1","19.89","19.85666667","17.85666667","7.4","17.89","18.5","17.16666667"
"122","20.1","19.1","19.89","19.85666667","17.85666667","7.466666667","17.89","18.5","17.1"
"123","20.06666667","19.1","19.89","19.79","17.79","7.656666667","17.7","18.5","17.1"
"124","20","19.1","19.89","19.73","17.79","7.53","18.5","18.5","17.1"
"125","20","19.1","19.89","19.7","17.79","7.623333333","17.945","18.5","17.1"
"126","20","19.1","19.89","19.7","17.79","7.69","18.07777778","18.5","17.1"
"127","20","19.1","19.89","19.7","17.79","7.56","18.18333333","18.5","17.1"
"128","20","19.1","19.89","18.79","17.79","7.433333333","18.18333333","18.5","17.1"
"129","20","19.1","19.89","19.79","17.73","7.295","18.1","18.5","17.1"
"130","20","19.03333333","19.945","19.6","17.79","6.9","18.06666667","18.5","17.1"
"131","20","19","19.89","19.56666667","17.7","6.966666667","18","18.42666667","17.1"
"132","20","19","19.89","19.5","17.7","6.966666667","17.9725","18.46333333","17.1"
"133","20","19","19.89","19.46333333","17.7","6.833333333","17.89","22","17.1"
"134","19.96333333","18.92666667","19.89","19.39","17.7","6.366666667","18.03333333","19.39","17.1"
"135","19.96333333","19.03333333","19.89","19.445","17.7","6.433333333","18.16666667","20.5","17.1"
"136","20","19.1","19.89","19.53333333","17.7","6.933333333","18.32333333","18.66666667","17.16666667"
"137","20.06666667","19.13333333","19.89","19.6","17.7","_nan_","18.445","_nan_","17.16666667"
"138","20.1","19.2","19.89","19.6","17.7","_nan_","18.52857143","_nan_","17.2"
"139","20.1","19.13636364","19.89","19.53333333","17.7","_nan_","18.48777778","_nan_","17.2"
"140","20.1","19.13","19.89","19.39","17.66666667","_nan_","_nan_","_nan_","17.2"
"141","20.1","19.1","19.89","19.39","17.6","_nan_","_nan_","18.7","17.2"
"142","20.1","19.0375","19.82333333","19.29","17.6","_nan_","_nan_","18.7","17.1"
"143","20.1","19.00769231","19.79","19.29","17.6","6.19","20.5","18.63125","17.1"
"144","20.06666667","19.1","19.79","19.26","17.6","6.156666667","17.79","18.6","17.1"
"145","20","19.2","19.79","19.2","17.6","6.09","18.1","18.6","17.1"
"146","20","18.99","19.79","19.2","17.6","6.09","18.1","18.6","17.1"
"147","20.03333333","18.90222222","19.82333333","19.2","17.6","6.06","18.01818182","18.53636364","17.1"
"148","20.03333333","18.89","19.89","19.36","17.53333333","5.933333333","18","19.79","17.1"
"149","20","18.89","19.89","19.69333333","17.6","5.526666667","18.06666667","21.6","17.06666667"
"150","20","18.85666667","19.79","20.16333333","17.6","_nan_","18.13333333","_nan_","17"
"151","20","18.85666667","19.79","20.29","17.5","_nan_","_nan_","18.6","17.03333333"
"152","20","18.92666667","19.79","20.2","17.5","_nan_","_nan_","18.66666667","17.03333333"
"153","20.03333333","19","_nan_","20.2","17.5","_nan_","_nan_","18.7","17"
"154","20.1","_nan_","_nan_","20.1","17.5","_nan_","_nan_","18.76","17"
"155","20.1","_nan_","_nan_","19.96333333","17.5","_nan_","_nan_","18.7","17"
"156","20.1","_nan_","_nan_","19.89","17.5","_nan_","_nan_","18.7","17"
"157","20.1","_nan_","_nan_","19.85666667","17.5","_nan_","_nan_","18.6","17"
"158","20.1","18.39","20.5","19.79","17.5","4.866666667","17.79","19.7","16.92666667"
"159","20.1","19.39","19.79","18.89","17.5","4.933333333","17.96333333","20.89","16.89"
"160","20.1","19.39","19.79","18.89","17.5","4.933333333","17.79","20.89","16.96333333"
"161","20.03333333","19.39","19.79","19","17.5","4.626666667","17.6","20.29","16.89"
"162","20.1","19.39","19.79","19.6","17.5","4.4","19.29","21.6","16.89"
"163","20.06666667","19.35666667","19.79","19.6","17.5","4.366666667","17.79","19.79","16.89"
"164","20","19.29","19.79","19.53333333","17.5","4.53","17.79","19.79","16.89"
"165","20","19.29","19.79","19.5","17.5","4.59","17.79","18.39","16.89"
"166","20","19.26","21.39","19.5","17.5","4.56","17.79","18.39","16.89"
"167","19.92666667","19.2","19.79","19.46333333","17.39","4.366666667","17.79","18.39","16.89"
"168","19.89","19.2","20.5","19.39","17.39","4.263333333","17.73","18.39","16.89"
"169","19.89","19.2","20.5","19.39","17.39","4.263333333","17.7","18.39","16.89"
"170","19.89","19.1","19.79","19.32333333","17.39","4.4","17.7","18.29","16.89"
"171","19.82333333","19.1","20.2","19.29","17.39","4.466666667","17.7","18.29","16.89"
"172","19.79","19.04444444","20.5","19.29","17.39","4.623333333","17.625","18.29","16.79"
"173","19.79","19","20.39","19.29","17.39","4.69","17.72454545","18.29","16.79"
"174","19.76","19","19.7","19.29","17.39","4.833333333","17.78","18.36272727","16.89"
"175","19.7","19","19.7","19.23","17.39","4.966666667","17.80666667","18.479375","16.89"
"176","19.7","19","19.7","19.2","17.39","5.09","17.85666667","18.55882353","16.89"
"177","19.63333333","18.910625","19.73","19.2","17.39","5.09","17.89","18.6","16.89"
"178","19.66666667","18.89","19.79","19.2","17.39","5.19","17.84","18.6","16.92666667"
"179","19.6","18.89","19.79","19.2","17.39","5.2725","17.84454545","18.6","16.92666667"
"180","19.6","18.89","19.79","19.13333333","17.35666667","5.366666667","17.84625","18.63333333","17"
"181","19.39","18.80818182","19.79","19.13333333","17.35666667","5.5","17.89","18.61428571","17"
"182","19.29","18.79","19.79","19.1","17.29","5.56","17.80111111","18.6","17"
"183","19.29","18.79","19.79","19.1","17.29","5.69","17.79","18.625","17"
"184","19.5","18.79","19.79","19.1","17.29","5.69","17.79","18.7","17"
"185","19.5","18.775","19.89","19.03333333","17.29","5.8","17.79","18.7","17"
"186","19.42666667","19.1","19.89","19","17.29","5.866666667","17.84","18.7","17"
"187","19.39","16.89","19.89","19","17.29","6","17.80428571","18.72571429","17"
"188","19.39","16.89","19.89","18.96333333","17.29","6","17.815","18.79","17"
"189","19.39","18.6","19.89","18.89","17.29","5.73","17.89","18.75","17"
"190","19.39","18.67777778","19.89","18.89","17.29","5.53","17.89","18.815","17"
"191","19.39","18.64285714","19.82333333","18.89","17.29","5.5","17.89","18.87571429","17"
"192","19.32333333","18.6","19.79","18.89","17.29","5.56","17.89","18.75142857","17"
"193","19.29","18.6","19.79","18.89","17.29","5.5","17.89","18.7","17.03333333"
"194","19.29","18.6","19.79","18.89","17.29","5.433333333","17.89","18.7","17.03333333"
"195","19.29","18.58888889","19.85666667","18.79","17.29","5.4","17.89","18.7","17"
"196","19.29","19.2","19.89","18.79","17.29","5.4","17.89","18.7","17"
"197","19.29","19.1","19.89","18.79","17.29","5.4","17.89","18.7","17.1"
"198","19.29","19.1","19.89","18.79","17.29","5.4","17.979375","18.7","17.03333333"
"199","19.2","18.6","19.89","18.79","17.29","5.466666667","18","18.705","17.1"
"200","19.2","18","19.89","18.79","17.23","5.5","18","18.75","17.1"
"201","19.2","18.6","19.89","18.76","17.26","5.56","18","18.705","17.1"
"202","19.2","17.79","19.89","18.7","17.26","5.59","18","18.73","17.1"
"203","19.2","19.2","19.96333333","18.7","17.2","5.656666667","18","18.765","17.1"
"204","19.39","18.49388889","19.89","18.7","17.2","5.69","18","18.74","17.1"
"205","19.1","18.42055556","19.89","18.7","17.2","5.69","18","18.725","17.1"
"206","19.1","18.39611111","19.89","18.7","17.2","5.69","17.79","18.71","17.1"
"207","19.1","18.39","19.89","18.7","17.2","5.69","18","18.73","17.1"
"208","19.1","18.39","19.82333333","20.5","17.2","5.726666667","18.1","18.715","17.1"
"209","19.1","18.37181818","19.79","18.1","17.2","5.8","18","18.725","17.1"
"210","19.03333333","18.30764706","19.79","18","17.39","5.833333333","18","18.7","17.1"
"211","19.03333333","18.34294118","19.82333333","17.7","17.5","5.833333333","18.05","18.72454545","17.1"
"212","19","18.34","19.82333333","19.89","17.2","5.8","18","18.74","17.2"
"213","19","18.29","19.89","18.79","17.2","5.763333333","18","18.725","17.2"
"214","19","18.29","19.89","18.6","17.2","5.623333333","18.02777778","18.7","17.2"
"215","19","18.29","19.89","18.6","17.2","5.623333333","18.02777778","18.7","17.2"
"216","18.96333333","18.273125","19.89","18.56666667","18.5","5.69","18.0125","18.7","17.2"
"217","18.89","18.29","19.89","18.5","17.2","5.56","18","18.7","17.2"
"218","18.89","18.245","19.89","18.5","17.1","5.433333333","18","18.7","17.2"
"219","18.89","18.2","19.96333333","18.5","17.16666667","5.226666667","18","22.7","17.2"
"220","18.89","18.2","19.89","18.5","17.2","5.366666667","18","18.7","17.2"
"221","18.89","18.2","19.92666667","18.5","17.2","5.5","18","18.7","17.2"
"222","18.89","18.2","19.79","18.46333333","17.16666667","5.56","18.00555556","18.7","17.2"
"223","18.865","18.2","19.89","18.46333333","17.13333333","5.59","18.03333333","18.7","17.2"
"224","18.79","18.2","19.89","18.39","17.1","5.59","18","18.7","17.2"
"225","18.89","18.2","22.39","19","17.16666667","5.59","18.07142857","18.68181818","17.2"
"226","18.89","18.17272727","19.89","20.5","18.85","5.53","18","18.62727273","17.2"
"227","18.89","18.18181818","19.89","20.5","18.76","5.53","18.05","18.64285714","17.2"
"228","18.89","18.15","20.79","18.39","18.96666667","5.59","18.1","18.6","17.2"
"229","18.79","18.1","19.53333333","18.39","19.76","5.59","18.1","18.6","17.2"
"230","18.79","18.1","19.5","18.39","19.3","5.59","18","18.6","17.2"
"231","18.79","18.05","19.5","18.39","18.89","5.59","17.945","18.55","17.2"
"232","18.79","18.1","19.5","18.32333333","18.615","5.59","17.89","18.5","17.2"
"233","18.79","18.1","19.5","18.29","18.5","5.59","17.89","18.5","17.1"
"234","18.79","18","19.5","18.29","18.35666667","5.59","17.89","18.5","17.1"
"235","18.79","18","19.5","18.29","18.29","5.59","17.79","18.39","17.1"
"236","18.79","18","19.5","18.29","18.2225","_nan_","17.79","18.39","17.1"
"237","18.79","18","19.42666667","18.23","18.2","_nan_","17.76","18.39","17.1"
"238","18.79","18","19.39","18.49666667","18.2","5.466666667","17.7","18.29","17.1"
"239","18.79","18","19.39","18.82333333","18.26","5.4","17.7","18.29","17"
"240","18.85666667","18.5","19.39","19.03","18.29","5.5","17.7","18.29","17"
"241","18.89","17.6","19.46333333","19.46","17.29","5.5","17.7","18.29","17"
"242","18.9975","18.26","19.5","19.72666667","17.39","5.59","17.73","18.26","17"
"243","19.1","18.32333333","19.5","20.06666667","17.39","5.59","18.7","18.2","17"
"244","19.13333333","18.46333333","19.42666667","20.2","17.39","5.59","19.5","18.26","17"
"245","19.2","18.53333333","19.46333333","20.16666667","17.39","5.59","17.7","18.26","17"
"246","19.2","18.6","19.39","20.1","17.6","5.45","20.92666667","18.26","17.1"
"247","19.2","18.6","19.39","20.1","17.96333333","5.53","17.7","18.2","17.1"
"248","19.2","18.66666667","19.46333333","20.1","17.89","5.656666667","17.66666667","18.15","17.1"
"249","19.2","18.7","19.5","20.05","17.89","5.726666667","17.6","18.1","17.1"
"250","19.23","18.76","19.5","20","17.89","5.866666667","17.6","18.1","17"
"251","19.29","18.79","19.5","19.92666667","17.85666667","5.9","17.6","18.1","17"
"252","19.29","18.79","19.5","19.85666667","17.79","5.9","17.56666667","18.03333333","17"
"253","19.23","19.2","19.39","19.79","17.76","5.933333333","17.5","18","17"
"254","19.29","19.2","19.39","19.7","17.7","6.06","17.5","18","16.96333333"
"255","19.29","19.16666667","19.32333333","19.63333333","17.73","6.226666667","17.5","18","16.89"
"256","19.2","18.7","19.39","19.6","17.73","6.3","17.5","18","16.89"
"257","19.2","18.63333333","19.39","19.6","17.7","6.53","17.5","17.96333333","16.89"
"258","19.2","18.6","19.39","19.56666667","17.7","6.656666667","17.5","17.96333333","16.89"
"259","19.2","18.6","19.46333333","19.42666667","17.63333333","6.726666667","17.42666667","17.89","16.89"
"260","19.2","18.5","19.39","19.39","17.63333333","6.866666667","17.445","17.89","16.89"
"261","19.2","18.5","19.39","19.39","17.6","_nan_","17.5","17.89","16.89"
"262","19.13333333","18.5","19.365","19.29","17.6","_nan_","17.5","17.89","16.89"
"263","19.16666667","18.5","19.35666667","19.29","17.6","_nan_","17.5","17.89","16.89"
"264","19.1","18.5","19.29","19.2","17.6","_nan_","17.42666667","17.89","16.89"
"265","19.1","18.5","19.29","_nan_","17.5","_nan_","17.39","17.85666667","16.89"
"266","19.1","18.46333333","19.29","18.39","17.5","7","17.39","17.79","16.89"
"267","19.06666667","18.39","19.29","19.6","17.5","7.126666667","17.42666667","17.79","16.89"
"268","19","18.39","19.29","19.1","17.5","7.19","17.42666667","17.79","16.89"
"269","19","18.39","19.23","19.1","17.5","6.996666667","17.5","17.85666667","16.89"
"270","19","18.39","19.26","19.1","17.5","6.466666667","17.42666667","17.79","16.89"
"271","19","18.39","19.2","19","17.5","6.333333333","17.42666667","17.79","16.89"
"272","19","18.39","19.26","19","18.39","6.6","17.5","17.82333333","16.82333333"
"273","19","18.39","19.26","19","17.39","6.933333333","17.63333333","17.89","16.89"
"274","19","18.39","19.29","19","17.5","7.293333333","17.76","18","16.89"
"275","19.03333333","18.42666667","19.29","19.03333333","20.5","7.7","17.92666667","18","16.89"
"276","19.1","18.5","19.29","19.1","17.39","7.9","18.06666667","19.29","16.89"
"277","19.13333333","18.5","19.29","19.1","17.39","7.833333333","18.29","22.79","16.89"
"278","19.2","18.5","19.29","19.1","17.39","7.866666667","18.35666667","19.79","16.89"
"279","21.39","18.63333333","19.35666667","19.13333333","17.39","7.726666667","18.445","18.46333333","16.89"
"280","22.89","18.7","19.29","19.2","17.39","7.69","19.2","18.53333333","17"
"281","20.89","18.73","19.29","19.29","17.39","7.626666667","19.2","18.66666667","17"
"282","21.2","18.79","19.29","19.29","17.39","7.433333333","18.82333333","18.76333333","17"
"283","21.39","18.79","19.29","19.29","17.39","7.156666667","18.96333333","22.29","17.06666667"
"284","21.29","18.79","19.29","19.29","17.39","7.03","18.89","22.1","17.06666667"
"285","21.79","18.79","19.29","19.2","17.39","6.7","18.89","21.6","17"
"286","20.6","18.79","19.79","19.13333333","17.39","6.366666667","18.89","22.79","17"
"287","19.39","18.7","19.89","19.1","17.29","5.933333333","18.89","19.79","17"
"288","19.35666667","18.7","22","19.06666667","17.29","5.66","18.79","22.1","17"
"289","19.29","18.7","21.7","19","17.29","5.33","18.73","19.13333333","17"
"290","19.29","18.7","22.39","19","17.29","5.063333333","18.66666667","19.2","17"
"291","19.29","18.7","19.79","19","17.29","4.626666667","18.6","19.29","17"
"292","19.29","18.7","19.79","18.89","17.29","4.366666667","18.5","19.35666667","16.89"
"293","19.29","18.39","19.29","18.89","17.29","3.966666667","18.42666667","19.42666667","16.89"
"294","19.29","18.39","19.29","18.89","17.29","3.826666667","18.39","19.56666667","16.89"
"295","19.29","19.1","19.23","19.39","17.29","3.723333333","18.32333333","19.63333333","16.89"
"296","19.26","_nan_","19.23","_nan_","17.29","3.42","18.29","19.7","16.89"
"297","19.26","18.35666667","19.2","19.89","17.29","3.156666667","18.23","19.76","17.89"
"298","19.2","18.7","19.2","18.79","17.23","2.863333333","18.2","19.76","17.89"
"299","19.29","18.7","19.2","18.73","17.23","2.656666667","18.2","19.79","17.6"
"300","19.29","18.79","19.2","18.7","17.23","2.466666667","18.2","19.79","17.1"
"301","19.32333333","18.79","19.2","18.7","17.26","2.4","18.2","19.79","17.1"
"302","19.39","18.82333333","19.29","18.7","17.26","2.223333333","18.2","19.79","18.2"
"303","19.39","18.82333333","19.29","18.7","17.2","2.03","18.2","19.79","16.79"
"304","19.39","18.89","19.29","18.66666667","18.16666667","1.863333333","18.26","19.79","16.79"
"305","19.39","18.89","19.29","18.6","17.89333333","1.79","18.32333333","19.79","16.79"
"306","19.46333333","19","19.2","18.6","17.7","1.7","18.46333333","19.79","16.73"
"307","19.5","19","19.2","18.7","17.63333333","_nan_","18.5","19.79","16.79"
"308","19.5","19","19.2","18.76","18.3","_nan_","18.5","_nan_","16.73"
"309","19.53333333","19","19.2","19.13333333","19.23333333","_nan_","18.39","_nan_","16.7"
"310","19.6","19.1","_nan_","19.4","18.63333333","_nan_","18.46333333","19.7","16.7"
"311","19.6","19.1","_nan_","19.73","18.36","_nan_","18.46333333","19.7","16.7"
"312","19.6","19.16666667","19.2","19.79","18.16666667","_nan_","18.32333333","19.79","16.7"
"313","19.6","19.13333333","19.2","19.7","18.1","_nan_","18.39","19.79","16.7"
"314","19.6","19.13333333","19.13333333","19.63333333","18.06666667","_nan_","18.39","19.79","16.7"
"315","19.6","19.1","19.26","19.56666667","18.66666667","1.29","18.35666667","19.79","16.66666667"
"316","19.6","19.1","19.59666667","19.5","19.16666667","1.23","18.29","19.73","16.65"
"317","19.6","19.1","19.93","19.39","19.16666667","1.166666667","18.29","19.73","16.6"
"318","19.6","19.1","20.35","20.5","19.32333333","1.1","18.29","19.76","17.89"
"319","19.6","19.06666667","20.63333333","20.1","19.46333333","1.133333333","18.23","19.7","17.89"
"320","19.6","19","20.76","20.29","19.32666667","1.26","18.2","19.7","17.7"
"321","19.6","19","21.06666667","19.79","19.13333333","1.426666667","18.2","19.7","17.79"
"322","19.5","19","21.2","19.5","18.945","1.566666667","18.2","19.66666667","17.1"
"323","19.5","20.2","21.06666667","19.79","18.79","1.73","18.2","19.6","18.2"
"324","19.5","18.39","20.86","21.2","18.73","1.79","18.2","19.6","18.39"
"325","19.42666667","17.6","20.66666667","21","18.6","1.933333333","18.2","19.6","16.6"
"326","19.39","17.6","20.6","18.96333333","18.53333333","1.933333333","18.1","19.6","16.6"
"327","19.39","19.2","20.5","18.89","18.5","1.9","18.1","19.6","16.6"
